"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"G***";"hct_diff_print_i";1;"LOGO";;;
2;"G***";"diy_silk_i";1;"LOGO";;;
3;"G***";"diy_print";1;"LOGO";;;
4;"G***";"help_print";1;"LOGO";;;
5;"G***";"qr_medium";1;"LOGO";;;
6;"G***";"hct_silk_i";1;"LOGO";;;
7;"U1";"Teensy36";1;"Teensy3.6";;;
8;"REF**";"Symbol_CC-ShareAlike_CopperTop_Small";1;"Symbol_CC-ShareAlike_CopperTop_Small";;;
9;"REF**";"Symbol_CreativeCommons_CopperTop_Type2_Small";1;"Symbol_CreativeCommons_CopperTop_Type2_Small";;;
10;"REF**";"OSHW-Logo2_7.3x6mm_SilkScreen";1;"OSHW-Logo2_7.3x6mm_SilkScreen";;;
11;"REF**";"Symbol_CC-Attribution_CopperTop_Small";1;"Symbol_CC-Attribution_CopperTop_Small";;;
12;"REF**";"Symbol_CC-Noncommercial_CopperTop_Small";1;"Symbol_CC-Noncommercial_CopperTop_Small";;;
13;"RV2,RV3,RV4,RV5,RV1";"Potentiometer_Bourns_PTA6043_Single_Slide";5;"10k sl";;;
14;"RV10,RV9,RV8,RV7,RV6";"Potentiometer_Piher_T-16L_Single_Vertical_Hole";5;"10k ro";;;
15;"SW2,SW1";"SW_PUSH_6mm_H8mm";2;"SW_Push";;;
